date,pages,Unnamed:
2024-06-30,10,
2024-07-01,10,
2024-07-02,10,
2024-07-03,10,
2024-07-04,10,
2024-07-05,10,
2024-07-06,10,
2024-07-07,10,
2024-07-08,10,
2024-07-09,10,
2024-07-10,10,
2024-07-11,10,
2024-07-12,10,
2024-07-13,10,
2024-07-14,10,
2024-07-15,10,
2024-07-16,10,
2024-07-17,10,
2024-07-18,15,
2024-07-19,10,
2024-07-20,14,
2024-07-21,11,
2024-07-22,10,
2024-07-23,14,
2024-07-24,10,
2024-07-25,10,
2024-07-26,11,
2024-07-27,10,
2024-07-28,10,
2024-07-29,10,
2024-07-30,10,
2024-07-31,11,
2024-08-01,12,
2024-08-02,7,
2024-08-02,4,
2024-08-03,14,
2024-08-04,11,
2024-08-05,3,
2024-08-05,7,
2024-08-05,1,
2024-08-06,10,
2024-08-07,10,
2024-08-08,3,
2024-08-08,7,
2024-08-08,2,
2024-08-09,10,
2024-08-10,6,
2024-08-10,6,
2024-08-11,12,
2024-08-12,11,
2024-08-13,6,
2024-08-13,2,
2024-08-13,2,
2024-08-14,10,
2024-08-15,8,
2024-08-15,1,
2024-08-15,1,
2024-08-16,12,
2024-08-17,10,
2024-08-18,10,
2024-08-19,6,
2024-08-19,4,
2024-08-19,6,
